epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,precision_m,recall_m,tn_m,tp_m
0,0.4956856369972229,89.01203155517578,26.473684310913086,0.22574490308761597,107.78797149658203,148.2120361328125,0.8237430453300476,0.5773558020591736,18.77593994140625,121.73834228515625
1,0.5001118183135986,99.933837890625,23.738346099853516,0.20241166651248932,121.44511413574219,134.5548858642578,0.8231802582740784,0.5255400538444519,21.51127815246582,110.81654357910156
2,0.49723565578460693,111.83158111572266,21.36240577697754,0.20193731784820557,135.7187957763672,120.28120422363281,0.7948479056358337,0.4689291715621948,23.887218475341797,98.9188003540039
3,0.5026459693908691,114.07368469238281,20.37293243408203,0.2018151581287384,138.95037841796875,117.04962158203125,0.7820536494255066,0.4581569731235504,24.876691818237305,96.67668914794922
4,0.5012935996055603,114.5142822265625,20.279699325561523,0.20179124176502228,139.4842071533203,116.51579284667969,0.7135029435157776,0.45560982823371887,24.969924926757812,96.23609161376953
5,0.5000786781311035,117.46015167236328,19.756391525268555,0.2017553150653839,142.95338439941406,113.04661560058594,0.6273180842399597,0.44161832332611084,25.49323272705078,93.29022216796875
6,0.5005210638046265,113.40601348876953,20.70075225830078,0.20175686478614807,137.9548797607422,118.04511260986328,0.5465826392173767,0.4612683653831482,24.548871994018555,97.3443603515625
7,0.500484824180603,119.54135131835938,19.215038299560547,0.2017386108636856,145.57594299316406,110.42405700683594,0.4903526306152344,0.43150249123573303,26.03458595275879,91.20902252197266
8,0.49978703260421753,104.27217864990234,22.69624137878418,0.2017497420310974,126.8255615234375,129.1744384765625,0.5149298310279846,0.5045181512832642,22.553382873535156,106.47819519042969
9,0.5003617405891418,106.72029876708984,22.105262756347656,0.2017512023448944,129.86465454101562,126.13533782958984,0.5375804305076599,0.4928564429283142,23.14436149597168,104.03007507324219
10,0.49995964765548706,119.9669189453125,19.387969970703125,0.20175659656524658,145.8285675048828,110.17142486572266,0.6800478100776672,0.43041667342185974,25.86165428161621,90.78345489501953
11,0.5005837678909302,103.84361267089844,22.762405395507812,0.2017245888710022,126.33082580566406,129.66616821289062,0.7168942093849182,0.506754457950592,22.487218856811523,106.90376281738281
12,0.5005114078521729,112.5368423461914,20.950376510620117,0.20167534053325653,136.83609008789062,119.16390991210938,0.7345066666603088,0.4657025933265686,24.29924774169922,98.21353149414062
13,0.5027165412902832,114.08271026611328,20.23007583618164,0.2017078995704651,139.1022491455078,116.89774322509766,0.7759203910827637,0.4575696885585785,25.019548416137695,96.66767120361328
14,0.5019216537475586,110.20451354980469,21.308271408081055,0.20162104070186615,134.14585876464844,121.85413360595703,0.8036078810691833,0.4766378104686737,23.94135284423828,100.54586791992188
15,0.5034492015838623,108.96842193603516,21.375940322875977,0.20147697627544403,132.84210205078125,123.15789794921875,0.8398270606994629,0.4822123944759369,23.87368392944336,101.78195190429688
16,0.5076069831848145,113.57292938232422,20.087217330932617,0.20145852863788605,138.73533630371094,117.26466369628906,0.8411353230476379,0.4607822597026825,25.16240692138672,97.17744445800781
17,0.5066861510276794,113.49323272705078,20.07518768310547,0.20138898491859436,138.66766357421875,117.33232879638672,0.8269934058189392,0.4606627821922302,25.174436569213867,97.25714111328125
18,0.5110364556312561,115.7744369506836,19.203006744384766,0.20120540261268616,141.82106018066406,114.17744445800781,0.8531654477119446,0.44988080859184265,26.046615600585938,94.97443389892578
19,0.5163148045539856,126.2225570678711,16.550376892089844,0.2011348009109497,154.9217987060547,101.07669067382812,0.8556864857673645,0.4005165994167328,28.699247360229492,84.52631378173828
20,0.5406255722045898,136.16842651367188,12.243609428405762,0.20022672414779663,169.1744384765625,86.8255615234375,0.8764916658401489,0.3535325229167938,33.00601577758789,74.58195495605469
21,0.5536811351776123,134.66015625,11.398496627807617,0.19921599328517914,168.5112762451172,87.48872375488281,0.881792426109314,0.36078283190727234,33.85112762451172,76.09022521972656
22,0.561747133731842,133.60301208496094,10.858646392822266,0.19783465564250946,167.99398803710938,88.00601196289062,0.888123095035553,0.3656143844127655,34.39097595214844,77.14736938476562
23,0.5634142160415649,129.40150451660156,11.61503791809082,0.19720633327960968,163.0360870361328,92.96391296386719,0.8868690729141235,0.3856326937675476,33.634586334228516,81.34886932373047
24,0.5674508213996887,131.68270874023438,10.757894515991211,0.19681385159492493,166.1744384765625,89.8255615234375,0.8922221064567566,0.3747003972530365,34.491729736328125,79.06767272949219
25,0.5709599852561951,129.69773864746094,10.911277770996094,0.19600731134414673,164.0360870361328,91.96391296386719,0.891792356967926,0.3842807114124298,34.33834457397461,81.0526351928711
26,0.5724903345108032,127.23158264160156,11.284210205078125,0.19573231041431427,161.19699096679688,94.80300903320312,0.8923647403717041,0.3959437906742096,33.96541213989258,83.518798828125
27,0.5726593732833862,127.33834838867188,11.222556114196777,0.19589483737945557,161.36541748046875,94.63459014892578,0.8926512598991394,0.395356684923172,34.027069091796875,83.41203308105469
28,0.5747254490852356,125.39398193359375,11.4977445602417,0.19529061019420624,159.14585876464844,96.85413360595703,0.892924427986145,0.4045860469341278,33.75188064575195,85.35639190673828
29,0.575706422328949,123.3293228149414,11.852631568908691,0.19527846574783325,156.726318359375,99.273681640625,0.8920116424560547,0.4144830107688904,33.39699172973633,87.42105102539062
30,0.5788875222206116,122.75489044189453,11.60902214050293,0.19469556212425232,156.39549255371094,99.6045150756836,0.8949114084243774,0.41694772243499756,33.640602111816406,87.99549102783203
31,0.5788044929504395,124.26766967773438,11.339849472045898,0.19441886246204376,158.1774444580078,97.82255554199219,0.894644021987915,0.4098917841911316,33.90977478027344,86.48270416259766
32,0.5794699788093567,123.40451049804688,11.424059867858887,0.19431035220623016,157.23007202148438,98.76992797851562,0.8944995999336243,0.4137948155403137,33.825565338134766,87.34586334228516
33,0.5818483829498291,124.19999694824219,11.03157901763916,0.19357439875602722,158.4180450439453,97.58195495605469,0.8964800834655762,0.4100795090198517,34.21804428100586,86.55037689208984
34,0.582848310470581,122.87669372558594,11.213533401489258,0.19388200342655182,156.91278076171875,99.08721923828125,0.8969805240631104,0.4162770211696625,34.03609085083008,87.87368774414062
35,0.5825607180595398,123.73233032226562,11.085714340209961,0.19325876235961914,157.896240234375,98.103759765625,0.8964882493019104,0.4124201834201813,34.163909912109375,87.0180435180664
36,0.5853272676467896,123.0706787109375,10.957894325256348,0.1932200789451599,157.36241149902344,98.6375961303711,0.8991501927375793,0.4153713285923004,34.29172897338867,87.67970275878906
37,0.584543764591217,122.83308410644531,11.139849662780762,0.1931222379207611,156.94285583496094,99.05714416503906,0.898632287979126,0.41678255796432495,34.10977554321289,87.91728973388672
38,0.5856161713600159,123.18646240234375,10.90526294708252,0.19284997880458832,157.53082275390625,98.46916961669922,0.8994966745376587,0.4148256182670593,34.3443603515625,87.56391143798828
39,0.587805449962616,120.86165618896484,11.13533878326416,0.19246768951416016,154.97593688964844,101.02406311035156,0.8999425172805786,0.4256318211555481,34.11428451538086,89.88872528076172
