epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_tn_m,val_tp_m
0,0.5345637202262878,171.20689392089844,4.427055835723877,0.10943864285945892,188.82493591308594,67.17506408691406,17.6180362701416,62.748008728027344,0.49449920654296875,153.86666870117188,1.144444465637207,0.6978116035461426,254.8000030517578,1.2000000476837158,100.93333435058594,0.0555555559694767
1,0.5461221933364868,182.6233367919922,2.7798409461975098,0.1083853542804718,201.8885955810547,54.11140441894531,19.26525115966797,51.331565856933594,0.5097302198410034,139.1777801513672,7.766666889190674,0.7160448431968689,233.4888916015625,22.511110305786133,94.31111145019531,14.744444847106934
2,0.5567464828491211,168.15914916992188,3.687002658843994,0.1077563539147377,186.51724243164062,69.48275756835938,18.358089447021484,65.7957534790039,0.49902915954589844,143.93333435058594,6.811110973358154,0.7347854375839233,239.1999969482422,16.799999237060547,95.26667022705078,9.98888874053955
3,0.5707495212554932,171.156494140625,2.7798409461975098,0.10686939209699631,190.4217529296875,65.5782470703125,19.26525115966797,62.79840850830078,0.5362465977668762,125.37777709960938,11.5,0.7532991766929626,215.95555114746094,40.0444450378418,90.57777404785156,28.544445037841797
4,0.5930092930793762,157.59947204589844,3.0557029247283936,0.10574843734502792,176.58885192871094,79.41114044189453,18.989389419555664,76.35543823242188,0.5536158084869385,115.31111145019531,14.644444465637207,0.7815797328948975,202.74444580078125,53.25555419921875,87.43333435058594,38.61111068725586
5,0.6136434078216553,145.02122497558594,3.347480058670044,0.10368243604898453,163.7188262939453,92.28116607666016,18.697612762451172,88.93368530273438,0.5605710744857788,110.65555572509766,16.299999237060547,0.8047165870666504,196.43333435058594,59.56666564941406,85.77777862548828,43.266666412353516
6,0.6242996454238892,138.8037109375,3.4482758045196533,0.10211684554815292,157.40052795410156,98.59947204589844,18.596817016601562,95.15119171142578,0.5659729242324829,109.5888900756836,15.911110877990723,0.8472746014595032,195.75555419921875,60.24444580078125,86.16666412353516,44.33333206176758
7,0.6345312595367432,134.9310302734375,3.3236074447631836,0.09994247555732727,153.65252685546875,102.34748077392578,18.721485137939453,99.02387237548828,0.5717148780822754,104.71111297607422,17.933332443237305,0.8758106827735901,188.85556030273438,67.14444732666016,84.14444732666016,49.21111297607422
8,0.643654465675354,128.7347412109375,3.5119364261627197,0.09840486943721771,147.2678985595703,108.73209381103516,18.533157348632812,105.22016143798828,0.5714454650878906,105.61111450195312,17.399999618530273,0.9249338507652283,190.2888946533203,65.71111297607422,84.67778015136719,48.31111145019531
9,0.651804506778717,126.27586364746094,3.3713526725769043,0.09810823947191238,144.94960021972656,111.05039978027344,18.67374038696289,107.67904663085938,0.5785183906555176,102.74444580078125,17.866666793823242,0.9692182540893555,186.95555114746094,69.04444122314453,84.21111297607422,51.17777633666992
10,0.655521035194397,124.6976089477539,3.3713526725769043,0.09659478068351746,143.37135314941406,112.62864685058594,18.67374038696289,109.25729370117188,0.5834364295005798,96.04444122314453,21.322221755981445,0.9815069437026978,176.8000030517578,79.19999694824219,80.75555419921875,57.877777099609375
11,0.6623547673225403,120.99469757080078,3.4031829833984375,0.09552691131830215,139.63661193847656,116.36339569091797,18.641910552978516,112.96021270751953,0.5812187194824219,99.71111297607422,19.344444274902344,1.0305895805358887,182.44444274902344,73.55555725097656,82.73332977294922,54.21111297607422
12,0.6661373376846313,119.61803436279297,3.3607428073883057,0.0947616770863533,138.30238342285156,117.6976089477539,18.684350967407227,114.33686828613281,0.5788974165916443,102.30000305175781,18.077777862548828,1.0260380506515503,186.3000030517578,69.69999694824219,84.0,51.622222900390625
13,0.6723076105117798,117.07957458496094,3.3236074447631836,0.09388312697410583,135.80105590820312,120.19893646240234,18.721485137939453,116.87532806396484,0.5860504508018494,97.45555877685547,19.866666793823242,1.122194766998291,179.6666717529297,76.33333587646484,82.21111297607422,56.46666717529297
14,0.676412045955658,115.53581237792969,3.2891247272491455,0.09313669055700302,134.29177856445312,121.70822143554688,18.75596809387207,118.41909790039062,0.585320234298706,101.03333282470703,17.622222900390625,1.1011475324630737,185.4888916015625,70.5111083984375,84.45555877685547,52.88888931274414
15,0.6808524131774902,113.60477447509766,3.26790452003479,0.09274428337812424,132.3819580078125,123.61803436279297,18.777189254760742,120.35013580322266,0.5803400874137878,103.38888549804688,17.08888816833496,1.1052852869033813,188.37777709960938,67.62222290039062,84.9888916015625,50.53333282470703
16,0.6852823495864868,112.35013580322266,3.188328981399536,0.09173046797513962,131.20689392089844,124.79310607910156,18.85676383972168,121.60477447509766,0.5842410326004028,99.32221984863281,18.9777774810791,1.1784905195236206,182.42222595214844,73.57777404785156,83.0999984741211,54.599998474121094
17,0.6930651068687439,109.7533187866211,3.1061007976531982,0.0903291255235672,128.6923065185547,127.30769348144531,18.93899154663086,124.20159149169922,0.5842075347900391,99.54444122314453,18.83333396911621,1.1670746803283691,182.7888946533203,73.21111297607422,83.24444580078125,54.377777099609375
18,0.6963266134262085,108.39257049560547,3.108753204345703,0.09023144096136093,127.32891082763672,128.67108154296875,18.93634033203125,125.56233215332031,0.5874965190887451,97.28888702392578,19.64444351196289,1.2436739206314087,179.72222900390625,76.27777862548828,82.43333435058594,56.63333511352539
19,0.6981838941574097,106.8647232055664,3.156498670578003,0.08997765928506851,125.7533187866211,130.24668884277344,18.888593673706055,127.0901870727539,0.5850849747657776,98.86666870117188,19.11111068725586,1.144485592842102,181.8333282470703,74.16666412353516,82.96666717529297,55.05555725097656
0,0.6806005835533142,110.8806381225586,3.6710875034332275,0.09533767402172089,129.25994873046875,126.74005126953125,18.379310607910156,123.06896209716797,0.5788888931274414,105.54444122314453,16.011110305786133,1.1058788299560547,191.61111450195312,64.38888549804688,86.06666564941406,48.377777099609375
1,0.6921196579933167,109.56764221191406,3.2440319061279297,0.09232544898986816,128.37400817871094,127.62599182128906,18.806365966796875,124.38196563720703,0.5865587592124939,100.0888900756836,18.05555534362793,1.163472294807434,184.11111450195312,71.88888549804688,84.02222442626953,53.83333206176758
2,0.6967576742172241,107.97612762451172,3.156498670578003,0.09106434881687164,126.87002563476562,129.12997436523438,18.89389991760254,125.97347259521484,0.5838390588760376,102.26667022705078,17.155555725097656,1.1497775316238403,187.1888885498047,68.81111145019531,84.92222595214844,51.655555725097656
3,0.7011309266090393,106.76127624511719,3.079575538635254,0.09036274999380112,125.73209381103516,130.2678985595703,18.970821380615234,127.1883316040039,0.5869324803352356,98.13333129882812,19.255556106567383,1.1660147905349731,180.95555114746094,75.04444122314453,82.82221984863281,55.78888702392578
4,0.7078287601470947,104.46684265136719,3.0079574584960938,0.08863183856010437,123.50928497314453,132.49072265625,19.04244041442871,129.48275756835938,0.5882800817489624,96.04444122314453,20.366666793823242,1.2004903554916382,177.75555419921875,78.24444580078125,81.71111297607422,57.877777099609375
5,0.7095436453819275,103.15914916992188,3.0636603832244873,0.08900411427021027,122.14588928222656,133.85411071777344,18.986738204956055,130.7904510498047,0.596958339214325,92.77777862548828,20.755556106567383,1.2617170810699463,174.10000610351562,81.9000015258789,81.32221984863281,61.14444351196289
6,0.7121822237968445,102.29708099365234,2.9893898963928223,0.0878806859254837,121.35809326171875,134.64190673828125,19.06100845336914,131.65252685546875,0.5887595415115356,97.47777557373047,19.299999237060547,1.271435260772705,180.25555419921875,75.74444580078125,82.77777862548828,56.44444274902344
7,0.7170390486717224,100.1352767944336,2.9814324378967285,0.08757048100233078,119.2042465209961,136.79576110839844,19.068965911865234,133.8143310546875,0.5919482111930847,94.9000015258789,20.377777099609375,1.2393019199371338,176.60000610351562,79.4000015258789,81.69999694824219,59.022220611572266
8,0.7193606495857239,98.83819580078125,3.0159151554107666,0.08706716448068619,117.8726806640625,138.1273193359375,19.034482955932617,135.1114044189453,0.595512866973877,92.57777404785156,21.200000762939453,1.3009225130081177,173.45555114746094,82.54444122314453,80.87777709960938,61.344444274902344
9,0.7265405654907227,96.8726806640625,2.8620688915252686,0.08583254367113113,116.06100463867188,139.93899536132812,19.188329696655273,137.07691955566406,0.5948694348335266,91.06666564941406,22.311111450195312,1.3671557903289795,170.8333282470703,85.16666412353516,79.76667022705078,62.85555648803711
10,0.7289926409721375,95.10079956054688,2.923076868057251,0.0855259969830513,114.22811889648438,141.77188110351562,19.127321243286133,138.8488006591797,0.5966217517852783,92.97777557373047,20.700000762939453,1.3240314722061157,174.35556030273438,81.64444732666016,81.37777709960938,60.94444274902344
11,0.7315793633460999,95.06100463867188,2.8249337673187256,0.08482950925827026,114.28646850585938,141.71353149414062,19.2254638671875,138.8885955810547,0.5969260931015015,91.38888549804688,21.700000762939453,1.3132878541946411,171.76666259765625,84.23332977294922,80.37777709960938,62.53333282470703
12,0.7357885837554932,93.45623016357422,2.7984085083007812,0.08333925902843475,112.70822143554688,143.29177856445312,19.251989364624023,140.4933624267578,0.5930027961730957,92.0,22.100000381469727,1.405574917793274,171.977783203125,84.02222442626953,79.97777557373047,61.92222213745117
13,0.7379347681999207,91.98938751220703,2.8302388191223145,0.08311961591243744,111.20954895019531,144.7904510498047,19.22015953063965,141.960205078125,0.5989056825637817,88.81111145019531,22.988889694213867,1.4838460683822632,167.89999389648438,88.0999984741211,79.0888900756836,65.11111450195312
14,0.7409749031066895,91.10344696044922,2.7559680938720703,0.08272126317024231,110.39788055419922,145.6021270751953,19.294429779052734,142.84616088867188,0.5985787510871887,88.12222290039062,23.511110305786133,1.459478735923767,166.6888885498047,89.31111145019531,78.56666564941406,65.80000305175781
0,0.7198587656021118,94.9708251953125,3.416445732116699,0.09038957208395004,113.61007690429688,142.38992309570312,18.639257431030273,138.97348022460938,0.5936819911003113,94.37777709960938,20.38888931274414,1.367903470993042,176.06666564941406,79.93333435058594,81.68888854980469,59.5444450378418
