epoch,balanced_acc_m,fn_m,fp_m,loss,neg_pred_m,pos_pred_m,tn_m,tp_m,val_balanced_acc_m,val_fn_m,val_fp_m,val_loss,val_neg_pred_m,val_pos_pred_m,val_tn_m,val_tp_m
0,0.5744473934173584,157.76922607421875,3.931034564971924,0.10713238269090652,175.8726806640625,80.1273193359375,18.10344886779785,76.1962890625,0.5638316869735718,112.03333282470703,14.655555725097656,0.7271937131881714,199.46665954589844,56.53333282470703,87.43333435058594,41.877777099609375
1,0.5816919803619385,151.89920043945312,4.124668598175049,0.10551279783248901,169.80902099609375,86.19097900390625,17.909814834594727,82.06631469726562,0.5715820789337158,101.0111083984375,20.41111183166504,0.7241805195808411,182.6888885498047,73.31111145019531,81.67778015136719,52.900001525878906
2,0.5919845700263977,149.42440795898438,3.9124667644500732,0.10437113791704178,167.54641723632812,88.45358276367188,18.12201499938965,84.5411148071289,0.5746922492980957,101.12222290039062,19.700000762939453,0.7231605648994446,183.5111083984375,72.4888916015625,82.38888549804688,52.78888702392578
3,0.5939822196960449,146.51193237304688,3.994694948196411,0.10387144237756729,164.55172729492188,91.44827270507812,18.03978729248047,87.45358276367188,0.5827874541282654,95.57777404785156,21.733333587646484,0.7286535501480103,175.93333435058594,80.06666564941406,80.35555267333984,58.33333206176758
4,0.5956047177314758,145.45889282226562,4.063660621643066,0.10309705138206482,163.42970275878906,92.5702896118164,17.970821380615234,88.50662994384766,0.576923668384552,92.34444427490234,25.066667556762695,0.7266207933425903,169.36666870117188,86.63333129882812,77.02222442626953,61.56666564941406
5,0.5990815162658691,142.8726806640625,4.106100559234619,0.10254663228988647,160.80105590820312,95.19893646240234,17.928382873535156,91.09283447265625,0.5650593042373657,96.07777404785156,25.044445037841797,0.7236424684524536,173.12222290039062,82.87777709960938,77.04444122314453,57.83333206176758
6,0.6019793748855591,143.85145568847656,3.917771816253662,0.10244516283273697,161.96817016601562,94.03182983398438,18.116710662841797,90.11405944824219,0.5821757316589355,96.26667022705078,21.422222137451172,0.7272781133651733,176.93333435058594,79.06666564941406,80.66666412353516,57.64444351196289
7,0.6055629849433899,140.8488006591797,4.002652645111084,0.10180830210447311,158.88063049316406,97.1193618774414,18.031829833984375,93.11671447753906,0.578101634979248,95.18888854980469,22.899999618530273,0.7273128032684326,174.37777709960938,81.62222290039062,79.18888854980469,58.72222137451172
8,0.6056726574897766,139.9177703857422,4.053050518035889,0.10148271173238754,157.89920043945312,98.09814453125,17.98143196105957,94.04508972167969,0.5847018361091614,95.16666412353516,21.64444351196289,0.7317087650299072,175.61111450195312,80.38888549804688,80.44444274902344,58.74444580078125
9,0.6086841821670532,138.07957458496094,4.092838287353516,0.10117071121931076,156.02122497558594,99.9787826538086,17.9416446685791,95.88594055175781,0.5709241032600403,91.97777557373047,26.544445037841797,0.7260565757751465,167.522216796875,88.47777557373047,75.54444122314453,61.93333435058594
10,0.609559178352356,138.62069702148438,4.007957458496094,0.10082735866308212,156.647216796875,99.352783203125,18.026525497436523,95.3448257446289,0.5716816186904907,93.0,25.72222137451172,0.7247017621994019,169.36666870117188,86.63333129882812,76.36666870117188,60.911109924316406
11,0.6143098473548889,136.5649871826172,3.9787797927856445,0.10068107396364212,154.62069702148438,101.37931060791016,18.055702209472656,97.40052795410156,0.570353090763092,106.35555267333984,17.122222900390625,0.7383209466934204,191.3222198486328,64.67778015136719,84.96666717529297,47.55555725097656
12,0.6118193864822388,135.20159912109375,4.108753204345703,0.10034018009901047,153.1273193359375,102.8726806640625,17.925729751586914,98.76392364501953,0.572234034538269,90.33333587646484,27.35555648803711,0.7321202754974365,165.06666564941406,90.93333435058594,74.73332977294922,63.57777786254883
13,0.6188225746154785,133.6604766845703,4.039787769317627,0.10009010881185532,151.65516662597656,104.3448257446289,17.99469566345215,100.30503845214844,0.5725560784339905,91.83333587646484,26.27777862548828,0.7310531735420227,167.64443969726562,88.35555267333984,75.81111145019531,62.07777786254883
14,0.6201562285423279,133.98939514160156,3.8620688915252686,0.09966431558132172,152.16180419921875,103.83819580078125,18.172412872314453,99.97612762451172,0.5779338479042053,92.63333129882812,24.677778244018555,0.729270875453949,170.04444885253906,85.95555877685547,77.4111099243164,61.27777862548828
15,0.620555579662323,131.11936950683594,4.119363307952881,0.09956961125135422,149.03448486328125,106.96551513671875,17.915119171142578,102.84615325927734,0.5643519759178162,88.42222595214844,30.244443893432617,0.7378838658332825,160.26666259765625,95.73332977294922,71.84444427490234,65.4888916015625
16,0.6227964758872986,130.05039978027344,4.0557026863098145,0.09926319122314453,148.0291748046875,107.9708251953125,17.97878074645996,103.91512298583984,0.5765135288238525,104.03333282470703,17.433332443237305,0.7389114499092102,188.6888885498047,67.31111145019531,84.65555572509766,49.877777099609375
